Hs_recorded,Tz_recorded,direction_recorded,min_recorded,max_recorded,mean_recorded,st_dev_recorded
0.5,2.5,45,-1998.3870301683,2247.5737173922,-513.301615346217,688.001679560082
0.5,2.5,135,-1998.3707896529,2247.6814285462,-513.290334381411,688.015968073886
0.5,2.5,225,-1998.3707891657,2247.6814285462,-513.290318542023,688.015975027451
0.5,2.5,315,-1998.3870300898,2247.5737173922,-513.301614881574,688.001674464919
0.5,6.5,45,-1992.9391465716,2343.8234046821,-501.083782114915,697.708861321953
0.5,3.5,225,-1997.8892035603,2258.8664248912,-512.122537052736,689.21959431921
1.5,3.5,45,-1996.1648794852,2276.7887385318,-509.723923349394,691.001729498993
0.5,3.5,315,-1997.924541366,2258.1348201656,-512.141321972917,689.121661570472
0.5,4.5,225,-1995.6911534665,2297.3283140444,-507.525548588164,693.445245607966
0.5,6.5,135,-1993.1579908122,2391.8404834896,-498.96086362266,704.263260526349
1.5,7.5,45,-1995.9409818868,2279.6225586172,-509.528558657894,691.309853086628
0.5,4.5,315,-1996.2557515713,2290.2405569051,-508.266436652883,692.416119744741
2.5,5.5,45,-1982.5998168321,2523.9466465304,-460.899291973275,728.297547380645
1.5,4.5,135,-1996.2266747272,2279.6602476928,-509.671490605025,691.382600214965
0.5,6.5,225,-1993.1580012082,2391.8404834896,-498.960882135942,704.263296876863
0.5,5.5,315,-1997.0644762299,2272.7264754099,-510.359971878106,690.62632805585
1.5,3.5,225,-1990.051661892,2550.0896292468,-485.619550298943,722.888653100522
0.5,6.5,315,-1992.9391461642,2343.8234046821,-501.083819593626,697.708856386711
1.5,4.5,225,-1996.2266410019,2279.6602476928,-509.671518003257,691.382584179696
1.5,3.5,315,-1989.2362375012,2411.6922280604,-490.540859685623,703.835855301953
2.5,4.5,225,-1984.474408843,2639.216934796,-460.52278740576,744.017039566219
1.5,4.5,315,-1996.1648725635,2276.7887385318,-509.723949981336,691.001721514393
2.5,5.5,225,-1995.6817181869,2284.6954882492,-509.226808421289,691.924463083221
1.5,5.5,315,-1991.3126243868,2366.319972104,-497.713413246615,700.491809703674
1.5,6.5,315,-1983.1179527715,2600.0822380991,-458.559477121323,740.56546618265
2.5,4.5,315,-1973.9403021779,2849.4939313958,-421.88504870886,776.418564600184
2.5,5.5,315,-1995.9409864102,2279.6225586172,-509.528575465545,691.309853648366
2.5,6.5,315,-1990.4542843096,2355.7956540895,-498.020126106064,699.02816707273
3.5,5.5,315,-1982.5998437692,2523.9466465304,-460.899026327434,728.297666467702
3.5,6.5,315,-1966.1922577057,2876.5508223296,-414.981680629949,778.584046951515
