Hs_recorded,Tz_recorded,direction_recorded,min_recorded,max_recorded,mean_recorded,st_dev_recorded
0.5,2.5,45,0.0001543771,0.2932168922,0.0756077189680851,0.0699696406934808
0.5,2.5,135,0.0001543937,0.293231557,0.0756086776808511,0.0699704213797286
0.5,2.5,225,0.000154382,0.293231557,0.0756086784978723,0.0699704212368859
0.5,2.5,315,0.0001543805,0.2932168922,0.0756077210531915,0.0699696389107518
0.5,6.5,45,0.0002198674,0.3054330494,0.0780125863446809,0.0702966520806192
0.5,3.5,225,0.0001591128,0.2946430976,0.0757933781914894,0.0700606498735443
1.5,3.5,45,0.0001671581,0.2969287707,0.0761252102765957,0.070208317145487
0.5,3.5,315,0.0001617551,0.2945590821,0.0757885533085106,0.0700446200545087
0.5,4.5,225,0.0002017586,0.2995605047,0.076610511493617,0.0703164254733501
0.5,6.5,135,0.0001958059,0.3117606704,0.0781053761617021,0.0711643721982667
1.5,7.5,45,0.0001678449,0.2973073552,0.0761519373595745,0.0702388032410909
0.5,4.5,315,0.0002239654,0.2986435306,0.0766121507085106,0.070114610972855
2.5,5.5,45,0.0004993649,0.3282767156,0.0851948268148936,0.0688438112041339
1.5,4.5,135,0.0001661203,0.2973054449,0.0761309450680851,0.0702606705844558
0.5,6.5,225,0.0001962766,0.3117606704,0.0781053754340426,0.071164382443346
0.5,5.5,315,0.0001627145,0.2964093508,0.0760042714170213,0.0702055057284756
1.5,3.5,225,0.0002489321,0.3321459525,0.0810499664468085,0.0722776289425049
0.5,6.5,315,0.0002198034,0.3054330494,0.0780125953723404,0.070296649403878
1.5,4.5,225,0.0001662485,0.2973054449,0.0761309456085106,0.0702606699349244
1.5,3.5,315,0.0003481443,0.3140390764,0.0808239145957447,0.0698723519870043
2.5,4.5,225,0.0003743783,0.3428020527,0.0840119708914894,0.071612363860034
1.5,4.5,315,0.0001672548,0.2969287707,0.076125227393617,0.0702082992441207
2.5,5.5,225,0.0001670018,0.2979296008,0.0762039185319149,0.0702879835233083
1.5,5.5,315,0.0002385947,0.3084486011,0.0789400643680851,0.0701917427780577
1.5,6.5,315,0.0004229159,0.3382456798,0.0848986768531915,0.0704485428956003
2.5,4.5,315,0.0007758453,0.3699681438,0.0912219849255319,0.0719831488131761
2.5,5.5,315,0.0001679132,0.2973073552,0.0761519483234042,0.0702387923018124
2.5,6.5,315,0.0002413674,0.3070428081,0.079078065987234,0.0698920563727642
3.5,5.5,315,0.0004999573,0.3282767156,0.0851948283680851,0.0688438188382279
3.5,6.5,315,0.0009446771,0.3733173222,0.0932426640744681,0.072316235650337
