Hs_recorded,Tz_recorded,direction_recorded,min_recorded,max_recorded,mean_recorded,st_dev_recorded
0.5,2.5,45,6.17509e-05,0.1172867572,0.0302430859468085,0.0279878536815478
0.5,2.5,135,6.17575e-05,0.1172926207,0.0302434693191489,0.0279881657047428
0.5,2.5,225,6.17528e-05,0.1172926207,0.0302434696446808,0.0279881656514597
0.5,2.5,315,6.17522e-05,0.1172867572,0.0302430867851064,0.0279878529777711
0.5,6.5,45,8.7947e-05,0.1221732199,0.0312050436553191,0.0281186750209922
0.5,3.5,225,6.36451e-05,0.1178572445,0.0303173508255319,0.0280242594202924
1.5,3.5,45,6.68632e-05,0.1187715101,0.030450086306383,0.0280833303824191
0.5,3.5,315,6.4702e-05,0.1178236315,0.0303154205638298,0.0280178467727478
0.5,4.5,225,8.07034e-05,0.1198241945,0.0306442079255319,0.0281265751551508
0.5,6.5,135,7.83224e-05,0.1247042611,0.0312421620617021,0.0284657664357778
1.5,7.5,45,6.7138e-05,0.118922944,0.0304607775829787,0.0280955255289985
0.5,4.5,315,8.95862e-05,0.1194574159,0.0306448622553192,0.0280458476283816
2.5,5.5,45,0.000199746,0.1313106273,0.0340779772191489,0.0275375925108695
1.5,4.5,135,6.64481e-05,0.118922176,0.0304523801574468,0.0281042715345022
0.5,6.5,225,7.85106e-05,0.1247042611,0.0312421617680851,0.028465770542752
0.5,5.5,315,6.50858e-05,0.118563744,0.0304017095276596,0.0280822039419548
1.5,3.5,225,9.95729e-05,0.1328583607,0.0324200034446809,0.0289110756152218
0.5,6.5,315,8.79213e-05,0.1221732199,0.0312050472617021,0.0281186739430692
1.5,4.5,225,6.64994e-05,0.118922176,0.0304523803765957,0.0281042712749784
1.5,3.5,315,0.0001392577,0.1256156081,0.0323295874042553,0.0279489730737598
2.5,4.5,225,0.0001497513,0.1371208145,0.0336048146914894,0.0286449837433029
1.5,4.5,315,6.69019e-05,0.1187715101,0.0304500931446809,0.0280833232197008
2.5,5.5,225,6.68007e-05,0.1191718359,0.0304815702659574,0.0281151977553562
1.5,5.5,315,9.54379e-05,0.1233793994,0.031576039293617,0.0280767165659885
1.5,6.5,315,0.0001691663,0.1352981631,0.0339595046914894,0.0281794623334641
2.5,4.5,315,0.0003103381,0.1479871011,0.036488859912766,0.0287933431889732
2.5,5.5,315,6.71653e-05,0.118922944,0.0304607819723404,0.0280955211544079
2.5,6.5,315,9.6547e-05,0.1228171079,0.0316312426404255,0.027956847260931
3.5,5.5,315,0.0001999829,0.1313106273,0.0340779778276596,0.0275375955613043
3.5,6.5,315,0.0003778708,0.1493268047,0.0372971584276596,0.0289266171782338
