Hs_recorded,Tz_recorded,direction_recorded,min_recorded,max_recorded,mean_recorded,st_dev_recorded
0.5,2.5,45,0,0.0321248993,0.00761393573695652,0.0114227318422158
0.5,2.5,135,0,0.0322859213,0.00765755512173913,0.0115266041780389
0.5,2.5,225,0,0.0323875323,0.00767927684130435,0.0115649384310217
0.5,2.5,315,0,0.0321891159,0.00762900762391304,0.0114457350138785
0.5,6.5,45,0,0.1732585728,0.0456701022434783,0.0621721999940051
0.5,3.5,225,0,0.0525644347,0.0131950630478261,0.0190144973644473
1.5,3.5,45,0,0.0614795536,0.0158775519891304,0.0218545042106401
0.5,3.5,315,0,0.0483082235,0.0121160671086956,0.0173355513877093
0.5,4.5,225,0,0.1226221547,0.0304525734130435,0.0435702612001977
0.5,6.5,135,0,0.1890999228,0.0494524978391304,0.0688600343578648
1.5,7.5,45,0,0.0583111346,0.0153060147913043,0.020924726349029
0.5,4.5,315,0,0.1170511171,0.0298002140043478,0.0417137505228677
2.5,5.5,45,0,0.5324489474,0.191847202632609,0.197785983065284
1.5,4.5,135,0,0.0651879385,0.0166907664413043,0.0232811271769983
0.5,6.5,225,0,0.1762926131,0.0454878258956522,0.0636903630821539
0.5,5.5,315,0,0.0588871799,0.015232424276087,0.0211265933862076
1.5,3.5,225,0,0.3136498332,0.0831474450347826,0.113798171833363
0.5,6.5,315,0,0.1910611987,0.0514674841630435,0.0693745913785685
1.5,4.5,225,0,0.0607614182,0.0156754892456522,0.0217315879685186
1.5,3.5,315,0,0.3348717391,0.093471386476087,0.122355765109128
2.5,4.5,225,0,0.4830126762,0.141968503645652,0.179178852513835
1.5,4.5,315,0,0.0664002076,0.0172582646652174,0.0237332422428709
2.5,5.5,225,0,0.0640075877,0.0163752802630435,0.0229038482258683
1.5,5.5,315,0,0.2475441843,0.0679798999304348,0.0904816290494887
1.5,6.5,315,0,0.4839703441,0.151214087395652,0.17955672651282
2.5,4.5,315,0,0.6498252153,0.25171731215,0.239332707535322
2.5,5.5,315,0,0.0682114512,0.0176684660695652,0.0242677027525381
2.5,6.5,315,0,0.2699766159,0.0738430443173913,0.0982562997696984
3.5,5.5,315,0,0.4394959509,0.127176650113043,0.161948574425509
3.5,6.5,315,0,0.5803296566,0.238881491063043,0.217121393503626
