Hs_recorded,Tz_recorded,direction_recorded,min_recorded,max_recorded,mean_recorded,st_dev_recorded
0.5,2.5,45,-2.3403772955,0.0347145149,-0.894085307189362,0.410848395437897
0.5,2.5,135,-2.3403772953,0.0347809144,-0.894010048861702,0.410826910790632
0.5,2.5,225,-2.3403772952,0.0347809144,-0.894010048859574,0.410826910782979
0.5,2.5,315,-2.3403772955,0.0347145149,-0.894085307189362,0.410848395437897
0.5,6.5,45,-2.3403764335,0.0607859441,-0.854702172082979,0.413195346194295
0.5,3.5,225,-2.3403772539,0.0388280698,-0.890134183925532,0.411369624540514
1.5,3.5,45,-2.3403772686,0.0422272035,-0.880887321946809,0.410947024491744
0.5,3.5,315,-2.340377263,0.0380864688,-0.889931299889362,0.411340247512901
0.5,4.5,225,-2.3403768604,0.0512892553,-0.875124514782979,0.411960252870971
0.5,6.5,135,-2.3403765794,0.0710390159,-0.850174008734042,0.412950549834675
1.5,7.5,45,-2.3403772836,0.0422626087,-0.879880509793617,0.410799009352498
0.5,4.5,315,-2.3403768763,0.0479809591,-0.87732930503617,0.412576514982671
2.5,5.5,45,-2.3403190664,0.1372472593,-0.743714712346808,0.41472417318611
1.5,4.5,135,-2.3403772735,0.0442065545,-0.881137058514893,0.411307278398046
0.5,6.5,225,-2.3403765791,0.0710390159,-0.85017400872766,0.41295054981114
0.5,5.5,315,-2.3403772723,0.0413982221,-0.884497790710638,0.411535163596396
1.5,3.5,225,-2.3403736995,0.1067132303,-0.818781714806383,0.41996797939228
0.5,6.5,315,-2.3403764315,0.0607859441,-0.854702172040426,0.413195346037966
1.5,4.5,225,-2.340377274,0.0442065545,-0.881137058525532,0.411307278436609
1.5,3.5,315,-2.3403292987,0.0897884914,-0.813336115755319,0.414929051584509
2.5,4.5,225,-2.3403557489,0.1533144065,-0.776650781619149,0.428536303885946
1.5,4.5,315,-2.3403772658,0.0422272035,-0.880887321887234,0.410947024275564
2.5,5.5,225,-2.3403772688,0.0477859327,-0.87796340026383,0.411901039483466
1.5,5.5,315,-2.3403753897,0.070403392,-0.836711412185106,0.412158224468662
1.5,6.5,315,-2.340350493,0.1231515952,-0.766471530370213,0.41538927096126
2.5,4.5,315,-2.3402912882,0.2115272828,-0.654725037353192,0.423486093751216
2.5,5.5,315,-2.3403772822,0.0422626087,-0.879880507227659,0.410799006447965
2.5,6.5,315,-2.3403752964,0.0706738779,-0.834182832276596,0.411840421210651
3.5,5.5,315,-2.3403190635,0.1372472593,-0.743714712285106,0.414724172943406
3.5,6.5,315,-2.3402675321,0.2354882308,-0.617326487089362,0.416669512098984
