Hs_sim,T_sim,dir_sim,n_sim,damage_copper_dbeier,scaled_damage_copper_dbeier,damage_copper_dbeier_total
0.5,2.5,90,160.0,2.8272451464384686e-06,0.00045235922343015496,0.00045235922343015496
0.5,3.5,90,2064.0,4.243613669707767e-06,0.00875881861427683,0.009211177837706986
1.5,3.5,90,110.0,4.2003177581795656e-06,0.0004620349533997522,0.009673212791106738
0.5,4.5,90,802.0,3.833825589219305e-06,0.003074728122553883,0.01274794091366062
1.5,4.5,90,726.0,3.688747744146865e-06,0.002678030862250624,0.015425971775911245
2.5,4.5,90,13.0,3.7038440039485254e-06,4.814997205133083e-05,0.015474121747962576
0.5,5.5,90,89.0,3.423998088306143e-06,0.00030473582985924674,0.015778857577821822
1.5,5.5,90,188.0,3.6040545230195358e-06,0.0006775622503276727,0.016456419828149493
2.5,5.5,90,110.0,3.7017532894786123e-06,0.00040719286184264734,0.01686361268999214
3.5,5.5,90,3.0,3.780133267042326e-06,1.1340399801126978e-05,0.016874953089793268
0.5,6.5,90,4.0,3.5258655998546e-06,1.41034623994184e-05,0.016889056552192687
1.5,6.5,90,2.0,3.6478309164585955e-06,7.295661832917191e-06,0.016896352214025603
2.5,6.5,90,4.0,3.7602369070882335e-06,1.5040947628352934e-05,0.016911393161653954
3.5,6.5,90,16.0,3.729769831661201e-06,5.9676317306579214e-05,0.016971069478960533
0.5,2.5,180,204.0,2.80057503272675e-06,0.000571317306676257,0.01754238678563679
0.5,3.5,180,2133.0,2.245399717640903e-06,0.004789437597728046,0.022331824383364833
1.5,3.5,180,545.0,2.245600432474825e-06,0.0012238522356987796,0.023555676619063614
0.5,4.5,180,97.0,1.9230435612923754e-06,0.00018653522544536042,0.023742211844508976
1.5,4.5,180,460.0,1.938061264279239e-06,0.00089150818156845,0.024633720026077426
2.5,4.5,180,8.0,1.9482348055062604e-06,1.5585878444050083e-05,0.024649305904521475
0.5,5.5,180,5.0,1.9377155466238423e-06,9.688577733119211e-06,0.024658994482254594
1.5,5.5,180,10.0,2.268270512024584e-06,2.268270512024584e-05,0.02468167718737484
2.5,5.5,180,7.0,2.434008166747055e-06,1.7038057167229387e-05,0.02469871524454207
0.5,6.5,180,3.0,2.0250752857555317e-06,6.075225857266595e-06,0.02470479047039934
0.5,2.5,270,171.0,2.8272451464384686e-06,0.0004834589200409781,0.025188249390440315
0.5,3.5,270,1397.0,4.243613669707767e-06,0.0059283282965817505,0.031116577687022064
1.5,3.5,270,578.0,4.2003177581795656e-06,0.002427783664227789,0.03354436135124985
0.5,4.5,270,38.0,3.833825589219305e-06,0.0001456853723903336,0.033690046723640184
1.5,4.5,270,487.0,3.688747744146865e-06,0.001796420151399523,0.03548646687503971
2.5,4.5,270,64.0,3.7038440039485254e-06,0.00023704601625270562,0.035723512891292414
0.5,5.5,270,4.0,3.423998088306143e-06,1.3695992353224573e-05,0.035737208883645635
1.5,5.5,270,2.0,3.6040545230195358e-06,7.2081090460390716e-06,0.03574441699269167
2.5,5.5,270,10.0,3.7017532894786123e-06,3.701753289478612e-05,0.03578143452558646
3.5,5.5,270,1.0,3.780133267042326e-06,3.780133267042326e-06,0.0357852146588535
0.5,6.5,270,3.0,3.5258655998546e-06,1.05775967995638e-05,0.03579579225565307
0.5,0.5,0,3.0,0,0.0,0.03579579225565307
0.5,2.5,0,84.0,2.7690534448215626e-06,0.00023260048936501126,0.03602839274501808
0.5,3.5,0,1591.0,2.2235769276196343e-06,0.003537710891842838,0.039566103636860916
1.5,3.5,0,165.0,2.2286265170802167e-06,0.0003677233753182357,0.03993382701217915
0.5,4.5,0,1423.0,1.9303166614052686e-06,0.002746840609179697,0.04268066762135885
1.5,4.5,0,1397.0,1.9356295773109286e-06,0.0027040745195033673,0.045384742140862216
2.5,4.5,0,63.0,1.9409435662020743e-06,0.00012227944467073067,0.04550702158553295
0.5,5.5,0,502.0,1.99348065048737e-06,0.0010007272865446598,0.04650774887207761
1.5,5.5,0,908.0,2.2900701546812748e-06,0.0020793837004505974,0.04858713257252821
2.5,5.5,0,589.0,2.4218341535746152e-06,0.0014264603164554483,0.05001359288898366
3.5,5.5,0,24.0,2.451790551589848e-06,5.8842973238156356e-05,0.05007243586222181
0.5,6.5,0,54.0,2.0565951441309755e-06,0.00011105613778307267,0.05018349200000489
1.5,6.5,0,51.0,2.4309690145736295e-06,0.0001239794197432551,0.050307471419748145
2.5,6.5,0,59.0,2.5192980112782692e-06,0.00014863858266541788,0.05045611000241356
3.5,6.5,0,40.0,2.564031435493719e-06,0.00010256125741974876,0.05055867125983331
0.5,7.5,0,7.0,1.8747704008005758e-06,1.312339280560403e-05,0.05057179465263891
1.5,7.5,0,2.0,2.1376508568627466e-06,4.275301713725493e-06,0.05057606995435264
