Hs_sim,T_sim,dir_sim,n_sim,damage_copper_dbeier,scaled_damage_copper_dbeier,damage_copper_dbeier_total
0.5,2.5,90,160.0,9.381254719218243e-07,0.00015010007550749188,0.00015010007550749188
0.5,3.5,90,2064.0,9.381254719218243e-07,0.0019362909740466454,0.002086391049554137
1.5,3.5,90,110.0,1.025028247322971e-06,0.0001127531072055268,0.002199144156759664
0.5,4.5,90,802.0,9.381254719218243e-07,0.000752376628481303,0.002951520785240967
1.5,4.5,90,726.0,1.025028247322971e-06,0.0007441705075564769,0.003695691292797444
2.5,4.5,90,13.0,1.311070351858379e-06,1.7043914574158925e-05,0.003712735207371603
0.5,5.5,90,89.0,9.381254719218243e-07,8.349316700104236e-05,0.0037962283743726453
1.5,5.5,90,188.0,1.025028247322971e-06,0.00019270531049671852,0.0039889336848693635
2.5,5.5,90,110.0,1.311070351858379e-06,0.00014421773870442167,0.004133151423573785
3.5,5.5,90,3.0,1.747605816090571e-06,5.242817448271713e-06,0.004138394241022057
0.5,6.5,90,4.0,9.381254719218243e-07,3.752501887687297e-06,0.0041421467429097435
1.5,6.5,90,2.0,1.025028247322971e-06,2.050056494645942e-06,0.004144196799404389
2.5,6.5,90,4.0,1.311070351858379e-06,5.244281407433516e-06,0.004149441080811823
3.5,6.5,90,16.0,1.747605816090571e-06,2.7961693057449137e-05,0.004177402773869272
0.5,2.5,180,204.0,1.075595555868042e-06,0.00021942149339708054,0.004396824267266352
0.5,3.5,180,2133.0,1.075595555868042e-06,0.0022942453206665336,0.0066910695879328855
1.5,3.5,180,545.0,1.0782889855554817e-06,0.0005876674971277376,0.007278737085060623
0.5,4.5,180,97.0,1.075595555868042e-06,0.00010433276891920007,0.007383069853979823
1.5,4.5,180,460.0,1.0782889855554817e-06,0.0004960129333555216,0.007879082787335345
2.5,4.5,180,8.0,1.081012582268698e-06,8.648100658149583e-06,0.007887730887993495
0.5,5.5,180,5.0,1.075595555868042e-06,5.377977779340209e-06,0.007893108865772836
1.5,5.5,180,10.0,1.0782889855554817e-06,1.0782889855554818e-05,0.007903891755628391
2.5,5.5,180,7.0,1.081012582268698e-06,7.5670880758808854e-06,0.007911458843704273
0.5,6.5,180,3.0,1.075595555868042e-06,3.2267866676041257e-06,0.007914685630371877
0.5,2.5,270,171.0,9.79988216663276e-07,0.0001675779850494202,0.008082263615421298
0.5,3.5,270,1397.0,9.79988216663276e-07,0.0013690435386785966,0.009451307154099895
1.5,3.5,270,578.0,1.0631978360392539e-06,0.0006145283492306888,0.010065835503330584
0.5,4.5,270,38.0,9.79988216663276e-07,3.723955223320449e-05,0.01010307505556379
1.5,4.5,270,487.0,1.0631978360392539e-06,0.0005177773461511166,0.010620852401714906
2.5,4.5,270,64.0,1.2338709633681482e-06,7.896774165556149e-05,0.010699820143370467
0.5,5.5,270,4.0,9.79988216663276e-07,3.919952866653104e-06,0.01070374009623712
1.5,5.5,270,2.0,1.0631978360392539e-06,2.1263956720785077e-06,0.010705866491909199
2.5,5.5,270,10.0,1.2338709633681482e-06,1.2338709633681483e-05,0.010718205201542881
3.5,5.5,270,1.0,1.4869168832130557e-06,1.4869168832130557e-06,0.010719692118426095
0.5,6.5,270,3.0,9.79988216663276e-07,2.939964649989828e-06,0.010722632083076085
0.5,0.5,0,3.0,1.0776147671277687e-06,3.2328443013833064e-06,0.010725864927377468
0.5,2.5,0,84.0,1.0776147671277687e-06,9.051964043873257e-05,0.0108163845678162
0.5,3.5,0,1591.0,1.0776147671277687e-06,0.00171448509450028,0.01253086966231648
1.5,3.5,0,165.0,1.0795032500999725e-06,0.00017811803626649545,0.012708987698582974
0.5,4.5,0,1423.0,1.0776147671277687e-06,0.001533445813622815,0.014242433512205789
1.5,4.5,0,1397.0,1.0795032500999725e-06,0.0015080660403896616,0.01575049955259545
2.5,4.5,0,63.0,1.08142757774461e-06,6.812993739791043e-05,0.01581862948999336
0.5,5.5,0,502.0,1.0776147671277687e-06,0.0005409626130981399,0.0163595921030915
1.5,5.5,0,908.0,1.0795032500999725e-06,0.000980188951090775,0.017339781054182275
2.5,5.5,0,589.0,1.08142757774461e-06,0.0006369608432915754,0.01797674189747385
3.5,5.5,0,24.0,1.0882497022696952e-06,2.6117992854472683e-05,0.01800285989032832
0.5,6.5,0,54.0,1.0776147671277687e-06,5.8191197424899514e-05,0.01806105108775322
1.5,6.5,0,51.0,1.0795032500999725e-06,5.50546657550986e-05,0.01811610575350832
2.5,6.5,0,59.0,1.08142757774461e-06,6.3804227086932e-05,0.018179909980595252
3.5,6.5,0,40.0,1.0882497022696952e-06,4.352998809078781e-05,0.01822343996868604
0.5,7.5,0,7.0,1.0776147671277687e-06,7.543303369894381e-06,0.018230983272055933
1.5,7.5,0,2.0,1.0795032500999725e-06,2.159006500199945e-06,0.018233142278556134
