Hs_sim,T_sim,dir_sim,n_sim,damage_copper_dbeier,scaled_damage_copper_dbeier,damage_copper_dbeier_total
0.5,2.5,90,160.0,9.38125471921835e-07,0.0001501000755074936,0.0001501000755074936
0.5,3.5,90,2064.0,9.38125471921835e-07,0.0019362909740466673,0.002086391049554161
1.5,3.5,90,110.0,1.0250282473229828e-06,0.0001127531072055281,0.002199144156759689
0.5,4.5,90,802.0,9.38125471921835e-07,0.0007523766284813116,0.0029515207852410007
1.5,4.5,90,726.0,1.0250282473229828e-06,0.0007441705075564855,0.003695691292797486
2.5,4.5,90,13.0,1.3110703518583958e-06,1.7043914574159145e-05,0.003712735207371645
0.5,5.5,90,89.0,9.38125471921835e-07,8.349316700104332e-05,0.0037962283743726882
1.5,5.5,90,188.0,1.0250282473229828e-06,0.00019270531049672077,0.003988933684869409
2.5,5.5,90,110.0,1.3110703518583958e-06,0.00014421773870442354,0.004133151423573832
3.5,5.5,90,3.0,1.7476058160882716e-06,5.2428174482648145e-06,0.0041383942410220965
0.5,6.5,90,4.0,9.38125471921835e-07,3.75250188768734e-06,0.004142146742909784
1.5,6.5,90,2.0,1.0250282473229828e-06,2.0500564946459656e-06,0.00414419679940443
2.5,6.5,90,4.0,1.3110703518583958e-06,5.244281407433583e-06,0.0041494410808118635
3.5,6.5,90,16.0,1.7476058160882716e-06,2.7961693057412345e-05,0.004177402773869276
0.5,2.5,180,204.0,1.075595555870377e-06,0.00021942149339755689,0.004396824267266833
0.5,3.5,180,2133.0,1.075595555870377e-06,0.002294245320671514,0.006691069587938347
1.5,3.5,180,545.0,1.078288985553431e-06,0.00058766749712662,0.007278737085064968
0.5,4.5,180,97.0,1.075595555870377e-06,0.00010433276891942656,0.007383069853984394
1.5,4.5,180,460.0,1.078288985553431e-06,0.0004960129333545783,0.007879082787338973
2.5,4.5,180,8.0,1.0810125822710393e-06,8.648100658168315e-06,0.00788773088799714
0.5,5.5,180,5.0,1.075595555870377e-06,5.3779777793518846e-06,0.007893108865776492
1.5,5.5,180,10.0,1.078288985553431e-06,1.078288985553431e-05,0.007903891755632025
2.5,5.5,180,7.0,1.0810125822710393e-06,7.5670880758972755e-06,0.007911458843707923
0.5,6.5,180,3.0,1.075595555870377e-06,3.226786667611131e-06,0.007914685630375534
0.5,2.5,270,171.0,9.799882166632886e-07,0.00016757798504942235,0.008082263615424957
0.5,3.5,270,1397.0,9.799882166632886e-07,0.0013690435386786142,0.009451307154103571
1.5,3.5,270,578.0,1.063197836041603e-06,0.0006145283492320465,0.010065835503335618
0.5,4.5,270,38.0,9.799882166632886e-07,3.7239552233204966e-05,0.010103075055568823
1.5,4.5,270,487.0,1.063197836041603e-06,0.0005177773461522606,0.010620852401721084
2.5,4.5,270,64.0,1.2338709633681603e-06,7.896774165556226e-05,0.010699820143376646
0.5,5.5,270,4.0,9.799882166632886e-07,3.919952866653154e-06,0.0107037400962433
1.5,5.5,270,2.0,1.063197836041603e-06,2.126395672083206e-06,0.010705866491915383
2.5,5.5,270,10.0,1.2338709633681603e-06,1.2338709633681603e-05,0.010718205201549065
3.5,5.5,270,1.0,1.4869168832178402e-06,1.4869168832178402e-06,0.010719692118432282
0.5,6.5,270,3.0,9.799882166632886e-07,2.9399646499898658e-06,0.010722632083082273
0.5,0.5,0,3.0,1.0776147671301048e-06,3.2328443013903148e-06,0.010725864927383663
0.5,2.5,0,84.0,1.0776147671301048e-06,9.051964043892881e-05,0.010816384567822591
0.5,3.5,0,1591.0,1.0776147671301048e-06,0.0017144850945039968,0.012530869662326588
1.5,3.5,0,165.0,1.0795032500999852e-06,0.00017811803626649757,0.012708987698593086
0.5,4.5,0,1423.0,1.0776147671301048e-06,0.0015334458136261392,0.014242433512219224
1.5,4.5,0,1397.0,1.0795032500999852e-06,0.0015080660403896792,0.015750499552608904
2.5,4.5,0,63.0,1.0814275777422926e-06,6.812993739776443e-05,0.015818629490006668
0.5,5.5,0,502.0,1.0776147671301048e-06,0.0005409626130993126,0.01635959210310598
1.5,5.5,0,908.0,1.0795032500999852e-06,0.0009801889510907865,0.017339781054196767
2.5,5.5,0,589.0,1.0814275777422926e-06,0.0006369608432902103,0.017976741897486978
3.5,5.5,0,24.0,1.0882497022673788e-06,2.611799285441709e-05,0.018002859890341394
0.5,6.5,0,54.0,1.0776147671301048e-06,5.819119742502566e-05,0.01806105108776642
1.5,6.5,0,51.0,1.0795032500999852e-06,5.505466575509924e-05,0.01811610575352152
2.5,6.5,0,59.0,1.0814275777422926e-06,6.380422708679526e-05,0.018179909980608314
3.5,6.5,0,40.0,1.0882497022673788e-06,4.352998809069515e-05,0.01822343996869901
0.5,7.5,0,7.0,1.0776147671301048e-06,7.543303369910734e-06,0.018230983272068922
1.5,7.5,0,2.0,1.0795032500999852e-06,2.1590065001999704e-06,0.018233142278569123
