Hs_sim,T_sim,dir_sim,n_sim,damage_copper_pthies,scaled_damage_copper_pthies,damage_copper_pthies_total
0.5,2.5,45,74.0,3.923222354353774e-06,0.00029031845422217926,0.00029031845422217926
0.5,3.5,45,1648.0,2.9289295525047436e-06,0.004826875902527818,0.005117194356749997
1.5,3.5,45,45.0,3.2529210998539183e-06,0.00014638144949342632,0.005263575806243423
0.5,4.5,45,1566.0,3.0033135698845447e-06,0.004703189050439197,0.00996676485668262
1.5,4.5,45,806.0,3.877028916901561e-06,0.0031248853070226586,0.013091650163705278
2.5,4.5,45,18.0,5.55815963710073e-06,0.00010004687346781313,0.013191697037173091
0.5,5.5,45,558.0,2.3171781221891764e-06,0.0012929853921815604,0.014484682429354651
1.5,5.5,45,761.0,3.461365472743322e-06,0.002634099124757668,0.017118781554112318
2.5,5.5,45,280.0,7.00121853136172e-06,0.0019603411887812814,0.019079122742893598
3.5,5.5,45,18.0,3.799591890000735e-05,0.0006839265402001323,0.01976304928309373
0.5,6.5,45,50.0,2.1109517895406714e-06,0.00010554758947703358,0.019868596872570764
1.5,6.5,45,52.0,3.368333595878978e-06,0.00017515334698570685,0.020043750219556473
2.5,6.5,45,43.0,7.003457127644663e-06,0.00030114865648872053,0.020344898876045195
3.5,6.5,45,28.0,6.79895467200915e-05,0.001903707308162562,0.022248606184207757
0.5,7.5,45,7.0,1.8842314084693864e-06,1.3189619859285704e-05,0.022261795804067043
1.5,7.5,45,2.0,3.409224971063251e-06,6.818449942126502e-06,0.02226861425400917
0.5,2.5,135,164.0,3.945233871806587e-06,0.0006470183549762802,0.02291563260898545
0.5,3.5,135,1810.0,2.9064541492741457e-06,0.0052606820101862035,0.028176314619171652
1.5,3.5,135,144.0,3.2100626564967434e-06,0.00046224902253553103,0.028638563641707183
0.5,4.5,135,254.0,2.998396291781538e-06,0.0007615926581125106,0.029400156299819694
1.5,4.5,135,375.0,4.868281710483819e-06,0.0018256056414314322,0.031225761941251127
2.5,4.5,135,4.0,7.065118560117379e-06,2.8260474240469517e-05,0.0312540224154916
0.5,5.5,135,3.0,2.828792377670748e-06,8.486377133012244e-06,0.03126250879262461
1.5,5.5,135,25.0,4.705476710395757e-06,0.00011763691775989393,0.031380145710384506
2.5,5.5,135,14.0,8.421821438899998e-06,0.00011790550014459997,0.03149805121052911
0.5,6.5,135,5.0,2.392863576675296e-06,1.1964317883376481e-05,0.03151001552841248
0.5,2.5,225,243.0,3.945233836921268e-06,0.0009586918223718681,0.03246870735078435
0.5,3.5,225,2213.0,2.9064542075240572e-06,0.006431983161250739,0.03890069051203509
1.5,3.5,225,825.0,3.210062923040509e-06,0.00264830191150842,0.04154899242354351
0.5,4.5,225,41.0,2.998396326221736e-06,0.00012293424937509116,0.0416719266729186
1.5,4.5,225,607.0,4.868281672609617e-06,0.0029550469752740375,0.04462697364819264
2.5,4.5,225,30.0,7.0651204239390305e-06,0.00021195361271817093,0.04483892726091081
0.5,5.5,225,5.0,2.8287924223198237e-06,1.4143962111599118e-05,0.04485307122302241
1.5,5.5,225,12.0,4.705477757354811e-06,5.646573308825773e-05,0.04490953695611066
2.5,5.5,225,10.0,8.421812002972133e-06,8.421812002972132e-05,0.04499375507614038
0.5,6.5,225,1.0,2.3928636181231183e-06,2.3928636181231183e-06,0.04499614793975851
0.5,2.5,315,135.0,3.923222349809097e-06,0.0005296350172242281,0.04552578295698274
0.5,3.5,315,1501.0,2.928929565141341e-06,0.004396323277277153,0.04992210623425989
1.5,3.5,315,384.0,3.2577708022271058e-06,0.0012509839880552086,0.0511730902223151
0.5,4.5,315,471.0,3.0033136190676276e-06,0.0014145607145808526,0.052587650936895956
1.5,4.5,315,1263.0,3.877028768176337e-06,0.004896687334206713,0.05748433827110267
2.5,4.5,315,96.0,5.553309980750832e-06,0.0005331177581520799,0.05801745602925475
0.5,5.5,315,31.0,2.3171781193056323e-06,7.183252169847461e-05,0.05808928855095323
1.5,5.5,315,297.0,3.4613659189858716e-06,0.001028025677938804,0.059117314228892034
2.5,5.5,315,403.0,7.0012189188757476e-06,0.002821491224306926,0.061938805453198964
3.5,5.5,315,9.0,3.799557519825653e-05,0.00034196017678430875,0.062280765629983276
0.5,6.5,315,8.0,2.1109517832187546e-06,1.6887614265750037e-05,0.062297653244249025
1.5,6.5,315,1.0,3.3683340986042846e-06,3.3683340986042846e-06,0.06230102157834763
2.5,6.5,315,18.0,7.003458724965507e-06,0.00012606225704937912,0.06242708383539701
3.5,6.5,315,26.0,6.79891420182379e-05,0.0017677176924741854,0.0641948015278712
