Hs_sim,T_sim,dir_sim,n_sim,damage_steel_dbeier,scaled_damage_steel_dbeier,damage_steel_dbeier_total
0.5,2.5,45,74.0,0,0.0,0.0
0.5,3.5,45,1648.0,0,0.0,0.0
1.5,3.5,45,45.0,0,0.0,0.0
0.5,4.5,45,1566.0,0,0.0,0.0
1.5,4.5,45,806.0,0,0.0,0.0
2.5,4.5,45,18.0,0,0.0,0.0
0.5,5.5,45,558.0,0,0.0,0.0
1.5,5.5,45,761.0,0,0.0,0.0
2.5,5.5,45,280.0,0,0.0,0.0
3.5,5.5,45,18.0,0,0.0,0.0
0.5,6.5,45,50.0,0,0.0,0.0
1.5,6.5,45,52.0,0,0.0,0.0
2.5,6.5,45,43.0,0,0.0,0.0
3.5,6.5,45,28.0,0,0.0,0.0
0.5,7.5,45,7.0,0,0.0,0.0
1.5,7.5,45,2.0,0,0.0,0.0
0.5,2.5,135,164.0,0,0.0,0.0
0.5,3.5,135,1810.0,0,0.0,0.0
1.5,3.5,135,144.0,0,0.0,0.0
0.5,4.5,135,254.0,0,0.0,0.0
1.5,4.5,135,375.0,0,0.0,0.0
2.5,4.5,135,4.0,0,0.0,0.0
0.5,5.5,135,3.0,0,0.0,0.0
1.5,5.5,135,25.0,0,0.0,0.0
2.5,5.5,135,14.0,0,0.0,0.0
0.5,6.5,135,5.0,0,0.0,0.0
0.5,2.5,225,243.0,0,0.0,0.0
0.5,3.5,225,2213.0,0,0.0,0.0
1.5,3.5,225,825.0,0,0.0,0.0
0.5,4.5,225,41.0,0,0.0,0.0
1.5,4.5,225,607.0,0,0.0,0.0
2.5,4.5,225,30.0,0,0.0,0.0
0.5,5.5,225,5.0,0,0.0,0.0
1.5,5.5,225,12.0,0,0.0,0.0
2.5,5.5,225,10.0,0,0.0,0.0
0.5,6.5,225,1.0,0,0.0,0.0
0.5,2.5,315,135.0,0,0.0,0.0
0.5,3.5,315,1501.0,0,0.0,0.0
1.5,3.5,315,384.0,0,0.0,0.0
0.5,4.5,315,471.0,0,0.0,0.0
1.5,4.5,315,1263.0,0,0.0,0.0
2.5,4.5,315,96.0,0,0.0,0.0
0.5,5.5,315,31.0,0,0.0,0.0
1.5,5.5,315,297.0,0,0.0,0.0
2.5,5.5,315,403.0,0,0.0,0.0
3.5,5.5,315,9.0,0,0.0,0.0
0.5,6.5,315,8.0,0,0.0,0.0
1.5,6.5,315,1.0,0,0.0,0.0
2.5,6.5,315,18.0,0,0.0,0.0
3.5,6.5,315,26.0,0,0.0,0.0
