# dir,Hs,Tm02,n
0.000000000000000000e+00,5.000000000000000000e-01,2.500000000000000000e+00,1.600000000000000000e+02
0.000000000000000000e+00,5.000000000000000000e-01,3.500000000000000000e+00,2.064000000000000000e+03
0.000000000000000000e+00,1.500000000000000000e+00,3.500000000000000000e+00,1.100000000000000000e+02
0.000000000000000000e+00,5.000000000000000000e-01,4.500000000000000000e+00,8.020000000000000000e+02
0.000000000000000000e+00,1.500000000000000000e+00,4.500000000000000000e+00,7.260000000000000000e+02
0.000000000000000000e+00,2.500000000000000000e+00,4.500000000000000000e+00,1.300000000000000000e+01
0.000000000000000000e+00,5.000000000000000000e-01,5.500000000000000000e+00,8.900000000000000000e+01
0.000000000000000000e+00,1.500000000000000000e+00,5.500000000000000000e+00,1.880000000000000000e+02
0.000000000000000000e+00,2.500000000000000000e+00,5.500000000000000000e+00,1.100000000000000000e+02
0.000000000000000000e+00,3.500000000000000000e+00,5.500000000000000000e+00,3.000000000000000000e+00
0.000000000000000000e+00,5.000000000000000000e-01,6.500000000000000000e+00,4.000000000000000000e+00
0.000000000000000000e+00,1.500000000000000000e+00,6.500000000000000000e+00,2.000000000000000000e+00
0.000000000000000000e+00,2.500000000000000000e+00,6.500000000000000000e+00,4.000000000000000000e+00
0.000000000000000000e+00,3.500000000000000000e+00,6.500000000000000000e+00,1.600000000000000000e+01
1.000000000000000000e+00,5.000000000000000000e-01,2.500000000000000000e+00,2.040000000000000000e+02
1.000000000000000000e+00,5.000000000000000000e-01,3.500000000000000000e+00,2.133000000000000000e+03
1.000000000000000000e+00,1.500000000000000000e+00,3.500000000000000000e+00,5.450000000000000000e+02
1.000000000000000000e+00,5.000000000000000000e-01,4.500000000000000000e+00,9.700000000000000000e+01
1.000000000000000000e+00,1.500000000000000000e+00,4.500000000000000000e+00,4.600000000000000000e+02
1.000000000000000000e+00,2.500000000000000000e+00,4.500000000000000000e+00,8.000000000000000000e+00
1.000000000000000000e+00,5.000000000000000000e-01,5.500000000000000000e+00,5.000000000000000000e+00
1.000000000000000000e+00,1.500000000000000000e+00,5.500000000000000000e+00,1.000000000000000000e+01
1.000000000000000000e+00,2.500000000000000000e+00,5.500000000000000000e+00,7.000000000000000000e+00
1.000000000000000000e+00,5.000000000000000000e-01,6.500000000000000000e+00,3.000000000000000000e+00
2.000000000000000000e+00,5.000000000000000000e-01,2.500000000000000000e+00,1.710000000000000000e+02
2.000000000000000000e+00,5.000000000000000000e-01,3.500000000000000000e+00,1.397000000000000000e+03
2.000000000000000000e+00,1.500000000000000000e+00,3.500000000000000000e+00,5.780000000000000000e+02
2.000000000000000000e+00,5.000000000000000000e-01,4.500000000000000000e+00,3.800000000000000000e+01
2.000000000000000000e+00,1.500000000000000000e+00,4.500000000000000000e+00,4.870000000000000000e+02
2.000000000000000000e+00,2.500000000000000000e+00,4.500000000000000000e+00,6.400000000000000000e+01
2.000000000000000000e+00,5.000000000000000000e-01,5.500000000000000000e+00,4.000000000000000000e+00
2.000000000000000000e+00,1.500000000000000000e+00,5.500000000000000000e+00,2.000000000000000000e+00
2.000000000000000000e+00,2.500000000000000000e+00,5.500000000000000000e+00,1.000000000000000000e+01
2.000000000000000000e+00,3.500000000000000000e+00,5.500000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,5.000000000000000000e-01,6.500000000000000000e+00,3.000000000000000000e+00
3.000000000000000000e+00,5.000000000000000000e-01,5.000000000000000000e-01,3.000000000000000000e+00
3.000000000000000000e+00,5.000000000000000000e-01,2.500000000000000000e+00,8.400000000000000000e+01
3.000000000000000000e+00,5.000000000000000000e-01,3.500000000000000000e+00,1.591000000000000000e+03
3.000000000000000000e+00,1.500000000000000000e+00,3.500000000000000000e+00,1.650000000000000000e+02
3.000000000000000000e+00,5.000000000000000000e-01,4.500000000000000000e+00,1.423000000000000000e+03
3.000000000000000000e+00,1.500000000000000000e+00,4.500000000000000000e+00,1.397000000000000000e+03
3.000000000000000000e+00,2.500000000000000000e+00,4.500000000000000000e+00,6.300000000000000000e+01
3.000000000000000000e+00,5.000000000000000000e-01,5.500000000000000000e+00,5.020000000000000000e+02
3.000000000000000000e+00,1.500000000000000000e+00,5.500000000000000000e+00,9.080000000000000000e+02
3.000000000000000000e+00,2.500000000000000000e+00,5.500000000000000000e+00,5.890000000000000000e+02
3.000000000000000000e+00,3.500000000000000000e+00,5.500000000000000000e+00,2.400000000000000000e+01
3.000000000000000000e+00,5.000000000000000000e-01,6.500000000000000000e+00,5.400000000000000000e+01
3.000000000000000000e+00,1.500000000000000000e+00,6.500000000000000000e+00,5.100000000000000000e+01
3.000000000000000000e+00,2.500000000000000000e+00,6.500000000000000000e+00,5.900000000000000000e+01
3.000000000000000000e+00,3.500000000000000000e+00,6.500000000000000000e+00,4.000000000000000000e+01
3.000000000000000000e+00,5.000000000000000000e-01,7.500000000000000000e+00,7.000000000000000000e+00
3.000000000000000000e+00,1.500000000000000000e+00,7.500000000000000000e+00,2.000000000000000000e+00
